price,sqft,bedroom,bathroom,balcony,age,ownership,flooring,furnishing,facing,parking,gated_security,locality,Children,Club,Fire,Gas,Gym,Intercom,Internet,Lift,Park,Security,Sewage,Shopping,Swimming,Visitor
6000000.0,1030,2,2,1,4,1,1,2,2,1,0,Attiguppe,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6000000.0,2400,3,5,0,2,1,0,2,2,3,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12000000.0,1200,4,1,0,4,1,0,1,0,3,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000.0,450,1,1,0,4,1,0,1,2,3,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55000000.0,2200,4,3,0,4,1,0,2,6,2,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000000.0,2500,4,5,1,4,1,0,3,3,1,1,Attiguppe,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13500000.0,1350,3,3,0,4,1,0,2,2,2,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6600000.0,1163,2,2,1,2,1,1,2,1,2,0,Attiguppe,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9500000.0,1100,2,2,0,1,1,0,0,2,2,1,Attiguppe,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2000000.0,500,1,1,0,5,1,0,1,2,3,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9500000.0,686,2,3,2,4,1,0,0,1,3,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16500000.0,3300,4,9,0,3,1,0,0,2,2,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000000.0,1200,4,3,0,2,1,0,2,1,2,1,Attiguppe,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36000000.0,2000,4,10,0,3,1,0,2,1,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000000.0,900,2,2,1,4,1,2,1,1,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000000.0,2800,4,9,0,5,1,0,1,2,2,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000000.0,600,1,1,0,4,1,0,3,6,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4500000.0,600,1,1,0,4,1,0,2,1,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000000.0,1200,3,2,0,4,1,0,2,3,2,0,Attiguppe,1,0,0,0,0,0,0,0,1,0,1,1,1,1
